isbn13;titre;auteur;editeur;date;langue;prix
9782854286748;Dicovol : Aviation légère - Vol à voile - Voltige aérienne;Almut Plays;Editions Cépaduès;12 septembre 2005;Français;23.00
9782253002871;Le Noeud de vipères;François Mauriac;Le Livre de Poche;1 janvier 1973;Français;5.60
9782350760063;ET JE DANSE ENCORE;FARID CHOPEL,BRIGITTE MOREL;Privé;22 septembre 2005;Français;14.85
9782841460885;TENNIS;Metzger,Petit-Roulet;Syros;1 septembre 1995;Français;3.49
9782825102305;Politica Hermetica, 1991;Collectif;L'Age d'Homme;26 novembre 1991;Français;11.31
9782211081191;Je ne t'aime toujours pas, Paulus;Agnès Desarthe;L'Ecole des Loisirs;1 septembre 2005;Français;10.20
9782130575108;La sexualité féminine;André Jacques;"Presses Universitaires de France - PUF; 4";8 mai 2009;Français;9.00
9782213623641;Une vie à tire-d'aile;Claude de Kémoularia;Fayard;3 octobre 2007;Français;23.40
9782755701463;Les filles sont bêtes, les garçons sont idiots;Vincent Ravalec;Editions du Panama;11 août 2006;Français;0.89
9782211079716;Petit Lapin tout seul;Harry Horse;L'Ecole des Loisirs;2 septembre 2005;Français;12.20
9782748155488;Road Movie;Chris Ransford;Editions Le Manuscrit / Manuscrit.com;23 septembre 2005;Français;13.90
9782742768110;La Beauté du monde;Héctor Tizón,André Gabastou;Actes Sud;3 mai 2007;Français;18.10
9782845922112;Les gestes prédictifs;Joseph Messinger;Presses du Châtelet;14 février 2007;Français;12.51
9782745907455;Copain de la Corse;Jean-Jacques Andreani,Benoît Charles,Anne Eydoux;Milan;6 juin 2003;Français;13.87
9782070720231;Le Calice de la vie;Ivan Bounine,Maurice;Gallimard;17 octobre 1990;Français;8.00
9782738433633;Histoire musicale des Acadiens;Georges Dole;Editions L'Harmattan;3 mai 2000;Français;46.25
9782253155676;Le Manuscrit de la Giudecca;Yvon Toussaint;Le Livre de Poche;8 octobre 2003;Français;0.98
9782258032347;Le chaudron de sang;Jim Schutze;Presses de la Cité;13 mai 1992;Français;3.12
9782226207661;Dragons : Harold le héros !;Catherine Hapka,Charles Grosvenor,Justin Gerard;Albin Michel;3 mars 2010;Français;0.98
9782729823603;Institutions juridictionnelles;Jean-Pierre Scarano;"Ellipses Marketing; 8e édition revue et augmentée";30 juin 2005;Français;1.20
9782356140050;Gérer le stress au travail;Samuel Pfeifer;Empreinte temps présent Editions;6 novembre 2008;Français;8.00
9782883537033;Rester jeune et en bonne santé;Yves Ponroy;Editions Jouvence;20 octobre 2008;Français;7.41
9782703303756;Initiation au magnétisme curatif;Michel Nicole;Dangles;9 avril 1992;Français;19.80
9782205043631;Malheig, tome 1 : Que rien ne meure;Eric Stalner;Dargaud;9 novembre 1996;Français;5.40
9782253117841;Et quoi encore !;Denise Bombardier;Le Livre de Poche;6 décembre 2006;Français;0.90
9782844276919;PC Portables pour les Nuls;Dan Gookin,François Saluden;Editions First;30 mars 2007;Français;3.85
9782110030580;Les constitutions de l'Europe des Douze : Textes et documents;Henri Oberdorff;La Documentation Française;1 janvier 1994;Français;2.95
9782729822491;Le Grand Meaulnes : Alain-Fournier;Nadine Labory;Ellipses Marketing;13 avril 2005;Français;5.60
9782251013800;Abrégé des hauts faits du peuple romain;Festus,Jean-Louis Ferrary,Jean-Yves Guillaumin;"Les Belles Lettres; 1";15 mars 2003;Français;35.00
9782940373321;The Fundamentals of Photography;Helen Drew;AVA Publishing;novembre 2005;Anglais;6.51
9782253932130;Citrons acides;Lawrence Durrell;LGF - Livre de Poche;1 avril 1994;Français;3.73
9782724628357;Vingtième siècle numéro 61;Collectif;Presses de Sciences Po;13 janvier 1999;Français;9.55
9782258029927;Isola blues;Ed McBain;"Presses de la Cité; Presses De La Cité";12 février 1993;Français;0.89
9782258050594;Le bêtisier du sport, 98-99;Toulet,Rodolphe Baudeau;Presses de la Cité;25 juin 1998;Français;1.19
9782743616816;A poil en civil;Jerry Stahl;Rivages;16 mai 2007;Français;10.65
9782723469647;Le jeu de pourpre;Makyo,Rocco;GLENAT;15 avril 2009;Français;15.00
9782845866072;Penser avec Michel Foucault : Théorie critique et pratiques politiques;Marie-Christine Granjon,Collectif;Karthala;2 janvier 2005;Français;28.00
9782296078949;De Husserl à Fichte : Liberté et reflexivité dans le phénomène;Olivier Lahbib;"Editions L'Harmattan; L'harmattan";1 février 2009;Français;21.50
9782890458390;La Fortune du Passager;Kattan Naim;Hurtubise Hmh;1 octobre 2005;Français;15.00
9782738432261;Les Chinois de Paris et leurs jeux de face;L-H Zheng;Editions L'Harmattan;3 mai 2000;Français;25.40
9782877110006;La pianiste;Elfriede Jelinek;"Editions Jacqueline Chambon; JACQUELINE CHAMBON";19 mai 1998;Français;0.27
9782914353052;Je Suis Vraiment de Bonne Foi;Collectif;Ndze;31 décembre 1985;Français;2.85
9782713013652;L'europe de l'est : la voie de la democratie;Bradley/Morzac;Gamma;7 février 1994;Français;5.98
9782841771561;CSS précis et concis, édition française;Eric A. Meyer,James Guérin;O'Reilly;28 novembre 2001;Français;3.62
9782070373116;Mauprat;George Sand,Jean-Pierre Lacassagne;Folio;15 septembre 1981;Anglais, Français;8.80
9782013222334;Le Roman de la momie;T. Gautier;"Livre de Poche Jeunesse; Nouvelle";18 février 2004;Français;0.01
9782227727632;Invités à l'Elysée;Laurence Gillot,Claude Millet,Denise Millet;Bayard Jeunesse;4 janvier 2000;Français;0.90
9782259003636;L'Argentine de la peur : histoire d'une frustration;Jean Poutet;Omnibus;1978;Français;10.98
9782735507122;Objets d'affection : Une ethnologie de l'intime;Véronique Dassié;Comité des travaux historiques et scientifiques - CTHS;11 mars 2010;Français;28.00
9782825120651;Une femme russe en Chine;Rogozina,Pilniak;L'Age d'Homme;19 février 1990;Français;7.50
9782876450974;Solitudes;Shulamith Hareven;Fixot;1 janvier 1994;Français;19.00
9782220021898;Ligne de crete (suivi de) les hommes du souterrain;Delos Edith;Desclée de Brouwer;16 octobre 1991;Français;11.31
9782702900468;Tu es notre unique refuge;Jaya Kumâr;Courrier du Livre;29 mars 1993;Français;6.00
9782706816475;Mykonos. Chronique d'une île;Geneviève Couteau;Maisonneuve & Larose;8 octobre 2002;Français;2.80
9782812115813;Lettres de Trévoux;Paul Jean Desjardins;"APARIS; Edilivre Edition Classique";15 juillet 2009;Français;16.00
