isbn13;titre;auteur;editeur;date;langue;prix
9782894484524;Terra Nostra;Murray Jeffrey;Septentrion;13 juillet 2006;Français;59.99
9782842530198;Tours I;Brigitte Lucas;Alan Sutton;1 juillet 2005;Français;4.38
9782724609257;L'Année de la régulation 2003-2004, numéro 7;Collectif;Presses de Sciences Po;16 octobre 2003;Français;24.50
9782070758319;Les Vasistas;Jean Grosjean;Gallimard;13 avril 2000;Français;12.70
9782863255599;Analyse financière: Approche internationale - cfa;Philippe Thomas;"Revue Banque; 1";7 avril 2011;Français;32.00
9782757400289;Allemagne d'aujourd'hui, Hors-série, Octobre : Identité et question régionale en Europe;Stéphan Martens,Collectif;Presses Universitaires du Septentrion;29 novembre 2007;Français;8.00
9782266103930;Les Templiers;Michel Lamy;Pocket;1 février 2001;Français;1.19
9782263038204;Vaincre la fatigue : Avec les médecines douces et des méthodes naturelles;Jean-Claude Houdret,Isabelle de Paillette;Solar;2 juin 2005;Français;0.01
9782907069649;Cahiers du sens, numéro 7, 1997;L'Initiation;Le Nouvel Athanor;20 mars 2000;Français;7.75
9782070715985;"""Le Débat, numéro 54, mars 1989";Collectifs;Gallimard;16 mai 1989;Français;5.23
9782700031065;Les Celtes. Peuples et cultures;Juliette Wood,Corinne Hewlett;Gründ;septembre 1999;Français;7.67
9782711776405;La Petite entreprise : Principes d'économie et de gestion;Michel Marchesnay,Pierre-André Julien;"Vuibert; EDITION G VERMETTE";1 janvier 1990;Français;14.52
9782226035783;La cité des doges au XVe siècle, Venise;Battist,Del Torre;Albin Michel;26 avril 1989;Français;3.49
9782351802670;Big Bang Vénus T02;Takako Shigematsu;Taifu Comics;10 septembre 2008;Français;1.41
9782011554635;Le mag' 4 : Livre de l'élève;Fabienne Gallon;"Hachette; 01";13 juin 2007;Français;12.80
9782745925374;Réaliser un journal d'information;Pascal Famery,Philippe Leroy;Editions Milan;15 mars 2007;Français;1.19
9782705510091;Ravenala;Janine Raynond;J. Grassin;1 janvier 1979;Français;38.00
9782906258136;Le Havre : 1517-1986. Du Havre d'autrefois à la métropole de la mer;Legoy,Liotard,Mannev;"Éditions du Ptit Normand; Nouv. éd";1 août 1990;Français;35.50
9782263015762;Corrigez vos defauts;Lewis B;Solar;26 avril 1993;Français;0.98
9782870192832;"""A l'ombre du pouvoir"" : Les entourages princiers au Moyen Age [colloque]";Bertrand Schnerb,Jean-Louis Kupper,Collectif;Université de Liège - Bibliothèque de la Faculté de Philosophie et Lettres;1 août 2003;Anglais;7.75
9782841980420;Les bébés;Collectif;Manise;4 mars 1997;Français;2.49
9782013923149;Les histoires de maman Chatte;Anne-Marie Dalmais,Violayne Hulné;Hachette;10 juin 1998;Français;1.98
9782264012784;Nestor Burma contre CQFD;L. Malet;10/18;1 février 1989;Français;2.28
9782842732691;Aimer dire et médire;James W. Fernandez;Petit Vehicule;1 janvier 2001;Français;6.44
9782729113810;La fureur de l'ange;Yves Mabin Chennevière;Editions de La Différence;15 janvier 2002;Français;3.58
9782733230091;Population 1998, numéro 6 novembre-décembre;Institut Nationale d'Etudes Démographiques;Presses Universitaires de France - PUF;7 avril 1999;Français;6.35
9782310010214;Tous unis pour un nouveau monde;Pascal Prevautel;Amalthée;19 novembre 2011;Français;9.13
9782903370893;Ecrits;Michel Troche;Editions du Regard;1993;Français;9.10
9782863740385;Kati, of course (Récit Mazarine);Julien Bigras,Anne-Marie Arrial-Duhau;Mazarine;1980;Français;5.62
9782868399915;Evangéliser : Guide pratique et spirituel;Gilles Lefranc,Yvon Pinson,Jean Voisin;François-Xavier de Guibert;27 octobre 2004;Français;10.20
9782914552950;Ma vie telle que je me souviens;Eugène Gargadennec;Le Télégramme;1 avril 2003;Français;7.75
9782711840281;Sculptures : Afrique, Asie, Océanie et Amériques;Jacques Kerchache;R?union des Mus?es Nationaux;1 avril 2000;Français;6.00
9782020630047;La Préparation du roman I et II : Cours au collège de France, 1978-1980 (coffret 2 CD);Roland Barthes;Le Seuil;5 février 2004;Français;45.00
9782283017838;VOYANTS MODE D'EMPLOI. : Guide pratique du consultant;Eliane Gauthier;Buchet Chastel;15 février 1999;Français;4.05
9782874230806;Rue Josaphat;Frank Andriat;Mijade;29 mars 2012;Français;6.50
9782700016093;Contes du monde entier;Zdenka Krejcova,Martina Drijverova;Gründ;15 août 2001;Français;2.55
9782915842531;Contre l'homophobie. L'homosexualité dans la Bible.;Patrick Négrier;Cartouche;18 février 2010;Français;15.80
9782100540297;Pourquoi les gens ont-ils la même tête que leur chien ?;Serge Ciccotti,Nicolas Guéguen;Dunod;10 mars 2010;Français;17.60
9782890191853;Paris a l'heure : le guide des rendez-vous réussis;Couton;L'Etincelle;1 janvier 1990;Français;3.49
9782277210122;Calamite, mon amour;Parturier Françoise;"J'ai lu; EDITIONS J'AI LU N°1012";26 février 2001;Français;0.01
9782848995304;Mes petites recettes magiques à l'huile d'olive;Julie Frédérique,Delphine Labbay;LEDUC.S;16 mars 2012;Français;0.40
9782841725731;Honor Harrington : Mission Basilic;David Weber,Arnaud Mousnier-Lompré;L'Atalante Editions;1 février 2012;Français;21.00
9782706706806;Jésus, maître de vie : Premiers pas dans la vie spirituelle;Claude Flipo;Salvator;22 avril 2010;Français;6.93
9782092524923;Le pénultième péril (12);Lemony Snicket,Brett Helquist,Rose-Marie Vassallo;Nathan;3 juin 2010;Français;6.20
9782700237436;Et si je rangeais ma chambre ?;Ken Spillman;Rageot Editeur;17 août 2011;Français;3.24
9782756017839;Point de rupture, Tome 2 :;Carlos Trillo,Eduardo Risso,Jean-Michel Boschet;Delcourt;18 novembre 2009;Français;14.95
9782013219839;Ma mère m'épuise;Hubert Ben Kemoun;Livre de Poche Jeunesse;3 juillet 2002;Français;2.99
9782742769100;La Marche de Mina;Yoko Ogawa,Rose-Marie Makino-Fayolle;Actes Sud;11 janvier 2008;Français;21.30
9782204046756;La Bible au fil des jours;David Day;Cerf;17 février 1993;Français;1.97
9782909997049;Les cultes de l'enfer, Satan parmi nous;Dominique Cellura;Spengler;1993;Français;38.00
9782752905710;Ma vie sportive;David Storey,Camille Domecq;Editions Phébus;18 août 2011;Français;10.50
9782215075608;Pâques en window décor;Christine Hooghe,Mullieg;Fleurus;4 mars 2004;Français;0.98
9782080670489;Oncle Daniel le généreux;Eudora Welty;Flammarion;1 novembre 1998;Français;3.74
9782812303760;Diables et vampires;Sophie Lefay,Maguy Ly,Nicole Masson;Editions du Chêne;16 mars 2011;Français;10.90
9782290024041;Résonances;Pierre Bordage;J'ai lu;2 septembre 2015;Français;19.90
9782226175694;Mary Céleste : Les Enfants Sauvages;Rodolphe,Marc-Rénier;Albin Michel;11 avril 2007;Français;13.90
9782013921114;Le lion et le rat 010598;De la Fontaine-J;Deux coqs d'or;31 décembre 1997;Français;1.96
9782757820094;Lionel raconte Jospin;Lionel Jospin;Points;4 novembre 2010;Anglais, Français;7.10
9782879012575;La cuisine aveyronnaise;COLLECTIF;SUD OUEST;21 octobre 1998;Français;2.27
9782707112262;Les Carnets de guerre de Gustave Folcher, paysan languedocien : 1939-1945;G Folcher;La Découverte;1 mai 1981;Français;6.22
9782207237861;S'il est une chose tordue, c'est bien l'amour;Lee K. Abbott,Philippe Loubat-Delranc;"Denoël; DENOËL.";17 octobre 1990;Français;18.40
9782011807847;Mathématiques CAP, Livre élève, Ed.2010;Eliane Alquier,Catherine Thiaudière,Gérald Lafforgue;Hachette Éducation;28 avril 2010;Français;17.90
9782205019261;Sergent laterreur;Frydman;Dargaud;1981;Français;9.00
9782844265425;Picasso | Monographie;Brigitte Léal;CENTRE POMPIDOU;19 novembre 2011;Français;12.00
9782858683918;Aldo Ciccolini - Je suis un lirico spinto...;Pascal Le Corre;Van de Velde;20 avril 2007;Français;19.00
9782277213710;Jeux d'amour;Rogers Rosemary;J'ai lu;octobre 1982;Français;0.40
9782737000737;Tristan et Yseut;J. C Payen;Garnier;7 mai 1988;Français;5.87
9782070742677;Le Chaud et le froid: Un poème et sept nouvelles...;Ernest Hemingway,Philippe Sollers,Charles Cachera;Gallimard;23 mai 1995;Français;17.05
9782100491087;Objectif Innovation : Stratégies pour construire l'entreprise innovante;Jean-Yves Prax,Bernard Buisson,Philippe Silberzahn;Dunod;26 septembre 2005;Français;26.90
9782729602390;L' Esprit média : Pour choisir et utiliser les médias en publicité;Collectif;InterEditions;1 décembre 1997;Français;3.23
9782738300201;Images-Encyclopédie. Amérique;Arnaud;Albert Arnaud;20 février 1992;Français;0.20
9782709633604;L'aide fatale : Les ravages d'une aide inutile et de nouvelles solutions pour l'Afrique;Dambisa Moyo,André Zavriew;Jean-Claude Lattès;16 septembre 2009;Français;20.50
9782950991003;Calais, ville ouverte (Le temps des cerises);Alain Leduc;France découvertes;1996;Français;16.50
9782352820185;Ingrid Betancourt : Par-delà les apparences;Jean-Jacques Kourliandsky;"Editions Toute Latitude; TOUTE LATITUDE";1 avril 2008;Français;14.00
9782868694362;Les sept îles de la mélancolie;Baptiste-Marrey;Actes Sud;10 août 1993;Français;21.70
9782259001489;La Chair, le diable et le confesseur;Guy Bechtel;PLON;21 janvier 1994;Français;4.51
9782012814578;BIBLIOCOLLEGE - Dracula - nº 81;Bram Stoker;Hachette Éducation;15 juin 2011;Français;3.60
9782082013574;Etes-vous bien dans votre peau ?;Emmanuelle Billon,Chantal Diamante;Flammarion;23 mai 2005;Français;9.95
9782080700308;De la nature;Lucrèce;Flammarion;7 janvier 1993;Français;0.01
9782080703170;Le Prince;Machiavel;Flammarion;30 novembre 1993;Français;4.90
9782296077874;Tranches de femme;Camille Decourcy;Editions L'Harmattan;20 février 2009;Français;11.00
9782874440038;Jimmy Tousseul, Tome 3 : Le Crépuscule blanc;Stephen Desberg,Desorgher;Glénat Benelux;11 janvier 2005;Français;10.50
9782950888747;72 puissances de la Kabbale;Virya;Lahy;30 octobre 1998;Français;20.00
9782800111483;Le bébé Schtroumpf, tome 12;Peyo;Dupuis;27 novembre 1984;Français;10.95
9782841270026;L'Armagnac noir, ou, Bas-Armagnac;Paul Duffard;Atlantica;1 janvier 1994;Français;2.36
9782846244695;Réussir sa lettre de motivation;Christine Aubrée;L'Etudiant;9 septembre 2004;Français;0.59
9782737241031;Golden retriever;Marie-Luce Hubert,Jean-Louis Klein;Editions SAEP;2000;Français;0.27
9782881081453;La Chasse aux sorcières;Plinio Martini;L'Aire;24 mars 1992;Français;7.38
9782810611171;L'envers de la joue gauche : Une petite histoire du catholicisme (Tome III);Reitlag;Books on Demand;19 octobre 2009;Français;17.00
9782810700509;Criticon, N° 105, 2009 : Poesìa del siglo XVI;Robert Jammes,Collectif;Presses Universitaires du Mirail;17 septembre 2009;Français;22.00
9782267022889;Journal de la veuve;Mick Jackson;BOURGOIS;9 février 2012;Français;15.00
9782204096577;Commentaire sur l'Epître aux Romains : Tome III, Livres VI-VIII;Origène,Michel Fédou,Luc Brésard;Cerf;18 août 2011;Français;52.00
9782825117347;Amours permises;Marc Monnier;L'Age d'Homme;1 avril 2003;Français;8.00
9782753802131;Le Bruissement de l'aile du papillon;Stéphanie Zeitoun;Editions Alphée;8 mars 2007;Français;4.08
9782130510222;Le Monde et l'absence d'oeuvre;Jean-Yves Lacoste;Presses Universitaires de France - PUF;1 novembre 2000;Français;20.00
9782800153865;Michel Vaillant - tome 42 - 300 à l'heure dans Paris;Jean Graton,Studio Charon;Dupuis;3 février 2012;Français;15.50
9782864601104;Actes du congrès d'Amiens, 1982;S.A.E.S. Amiens;Didier érudition;1 février 1987;Français;31.00
9782852034891;LA GRAMMAIRE DU SILENCE : UNE LECTURE DE LA POESIE DE MARGUERITE DE NAVARRE;Robert D Cottrell;Honoré Champion;3 mai 2000;Français;37.00
9782221042380;Le Souffle de la guerre, tome 2 : Pamela;Herman Wouk;ROBERT LAFFONT;1 avril 1973;Français;5.86
9782204046169;Dieu pour penser 1 le mal;Adolphe Gesché;Cerf;20 janvier 1993;Français;22.00
9782092523728;Je veux ces bottes !;Mymi Doinet,Marc Boutavant;Nathan;20 août 2009;Français;5.60
9782020122054;L'Homme à la vie inexplicable;Henri Gougaud;Seuil;1 juin 1990;Français;2.28
9782080690739;Suites majorquines, Tome 2 : Par le sang de l'ermite;Martín Solanes;Flammarion;14 avril 2010;Français;19.90
9782745952943;Wafawaf et Captain Miaou T01 Poil au vent;B-Gnet;BD Kids;29 février 2012;Français;4.81
9782740407288;Anastasia;Century Fox;Editions Mango;23 janvier 1999;Français;2.06
9782724604382;Les notables rouges : La construction municipale de l'union de la gauche;Denis Lacorne;Les Presses de Sciences Po;1 janvier 1980;Français;10.47
9782070432028;Billy-Ze-Kick;Vautrin;"Gallimard; GALLIMARD .";9 décembre 1974;Français;1.50
9782909924953;Images, d'après Alain Quernec;Alain Quernec;Breizh;2000;Français;29.92
9782228888134;Le symbolisme dans les rêves : La méthode de traduction de Paul Diel;Jeanine Solotareff;Payot;14 septembre 1994;Français;7.75
9782852324268;Economie generale;Bougault-H;CDM;4 juillet 1990;Français;6.00
9782846330862;Ramon;Athanase Chimonas;AlterEdit;30 juin 2005;Français;12.00
9782266033831;La romance de Ténébreuse. Tome 11 : Projet Jason;Marion Zimmer Bradley,Simone Hilling;Presses Pocket;1 novembre 1990;Français;0.70
9782879019154;Les Noms de Lieux du Tarn;Korsak Mariola;Sud Ouest;19 août 2008;Français;5.99
9782277217602;Charleston T1 ****;Ripley Alexandra;J'ai lu;26 février 2001;Français;0.90
9782738469618;Les naissances de la pleine lune: Et autres curiosités démographiques;Frédéric Sandron;Editions L'Harmattan;3 mai 2000;Français;17.80
9782605001088;Fragonard;Jacques Thuillier,Jean-Honoré Fragonard;Skira - Berenice;30 juin 2008;Espagnol;3.61
9782010081644;Yalek , n° 10 : Opération nessy;André-Paul Duchateau,Jacques Géron;"Hachette; 1re";1 avril 1981;Français;6.16
9782894641347;MARTINIQUE. 3ème édition 1998;Claude Morneau;Guides de voyage Ulysse;16 août 1998;Français;7.69
9782355840456;22 NOVEMBRE 1963;Adam BRAVER,Fabrice POINTEAU;Sonatine;8 avril 2010;Français;16.00
9782712210939;Dans la lumière : Bénédictions irlandaises;Reinhold Schönemund,Liane Frank;Mediaspaul;16 mars 2009;Français;6.50
9782216110940;New starting goals CAP : Guide pédagogique;Patrick Aubriet;Foucher;4 septembre 2009;Français;14.30
9782840680369;Premier sang : Drame en deux tableaux;Gérard Titus-Carmel;"Echoppe; éd. originale";1 juin 1994;Français;16.70
9782840681700;Eclipses et splendeurs de la virgule;Jean Suquet;Echoppe;16 septembre 2005;Français;16.80
9782738437983;Dakar transgress;Samba Lo Nyombo;L'Harmattan;3 mai 2000;Français;14.25
9782916196084;J'Ai Marché Sur le Ciel;Carole Tricard;Editions du Bonhomme vert;20 avril 2007;Français;9.46
9782742735754;Les Enfants des héros;Lyonel Trouillot;Actes Sud;14 janvier 2002;Français;4.21
9782813201485;La bible de la phytothérapie;Helen Farmer-Knowles,Antonia Leibovici;Guy Trédaniel éditeur;6 septembre 2010;Français;18.00
9782225815355;La Machine à connexions;W. Daniel Hillis;Masson;4 novembre 1997;Français;48.87
9782747531078;Graffitis d'ogre;Patrick Berta Forgas;L'Harmattan;1 novembre 2003;Français;14.00
9782359830118;Hubert Colas;Hubert Colas,Thierry Ferrand,Matthieu Goeury;Centre Pompidou-Metz Editions;3 avril 2011;Français;12.00
9782916207582;Alec : L'intégrale;Eddie Campbell,Jean-Paul Jennequin;Editions Ca et Là;15 novembre 2011;Français;32.00
9782707134080;Violence et insécurité : fantasmes et réalités dans le débat français;Laurent Mucchielli;La Découverte;29 mars 2001;Français;0.94
9782842787851;Islamania, de l’Alhambra à la burqa, histoire d’une fascination artistique;Véronique Rieffel;Beaux Arts Editions;4 mai 2011;Français;19.00
9782718600826;Le babel nucléaire;Louis Puiseux;"Galilée; GALILEE";13 novembre 1981;Français;19.00
9782865867004;L'enfance en difficulté dans la France des années 40. L'exemple de Toulouse Saint-Simon;Collectif;Eres;20 octobre 1999;Français;13.51
9782896541713;Sorcières et sorciers;Anita Gareni;Broquet Inc;25 octobre 2010;Français;12.17
9782877301640;MEMOIRES DANS LA CITE INTERDITE COFFRET;Shi Dan,Ronger He;Editions Philippe Picquier;19 mai 1998;Français;14.78
9782708117457;Droit de l'entreprise. Manuel;R. Gensse;Editions d'Organisation;1995;Français;14.96
9782744902734;A look at arles en provence;Philippe Lorin;Edisud;1 janvier 2001;Français;59.61
9782717848885;Analyse Economique et Financière des Nouveaux Risques;Robert Kast,André Lapied;Economica;9 septembre 2004;Français;30.00
9782211068543;Au cirque de Buffalo Bill;Maryse Lamigeon;Archimède-l'École des loisirs-Club Archimax;1 janvier 2003;Français;0.01
9782258084681;LA MINUTE DE BONHEUR;CHRISTOPHE ASLER;Hors Collection;7 octobre 2010;Français;6.19
9782858026517;Privatisation;Edouard Cointreau,COPS;L'Harmattan;3 mai 2000;Français;16.25
9782702421482;Chronique d'un juge ordinaire;Alexis Lecaye;Editions du Masque;17 avril 1991;Français;0.68
9782070709533;Le Nom de Shakespeare;Bernard Sichère;Gallimard;22 avril 1987;Français;12.40
9782746035966;Cree su primer sitio web con dreamweaver 8;B.A. GUERIN;;2 juin 2007;Espagnol;10.02
9782746035973;Skype y telefonia ip. llama gratispor internet;J.N. ANDERRUTHY;;2 mai 2007;Espagnol;10.02
9782246726319;Retour à Merleau-Ponty;François-George Maugarlone;Grasset & Fasquelle;7 novembre 2007;Français;12.10
9782849900000;FULL SPEED;Frédéric Fajardie;"DES EQUATEURS; Editions des équateurs";22 janvier 2004;Français;18.00
9782501068093;10 minutes pour soi;Françoise Réveillet;Marabout;27 octobre 2010;Français;1.20
9782893816791;La sagesse des enfants;Copeland;Logiques;1 mars 2000;Français;7.75
9782220027388;Oeuvres complètes, tome 2 : Critique religieuse;Jean Guitton;Desclée de Brouwer;7 octobre 1992;Français;42.40
9782755505740;Règles pour le parc humain: suivi de La Domestication de l'être;Peter Sloterdijk,Olivier Mannoni;Fayard/Mille et une nuits;10 novembre 2010;Français;14.00
9782729821708;"Toutes les Mathématiques MP : 1e Partie : le kit de survie ; 2e Partie : des cerises sur le gâteau";Luc Verschueren,Jean-Paul Logé;Ellipses Marketing;1 septembre 2004;Français;18.95
9782711716968;Insitutions européennes : Catégories B et A;Anne-Laure Chavrier,Manuel Delamarre;"Vuibert; 2e édition";2 mai 2006;Français;3.75
9782729105457;Le Christ de Velazquez, traduit de l'espagnol par Jacques Munier et présenté par Roger Munier;Unamuno Miguel,Roger Munier,Jacques Munier;La Différence;1 septembre 1990;Français;1.78
9782729105952;OEuvres complètes / Jean de Boschère Tome 1 : Max Elskamp. (suivi de) Portraits d'amis;Jean de Boschère;Editions de La Différence;1 novembre 1990;Français;17.62
9782216098132;Annatec Foucher : Action et communication commerciales, Bac STT;J. Igman,A. Picouly,N. Saidj;"Foucher Parascolaire; édition 2005";1 septembre 2004;Français;2.28
9782213655734;Nouveau dictionnaire d'histoire universelle;Dominique Vallaud;"Fayard; édition revue et augmentée";6 octobre 2010;Français;27.40
9782070134632;Tous les matins du monde;Pascal Quignard;Gallimard;Livre audio, 6 octobre 2011;Français;16.15
9782845162655;Poétique des lieux;Pascale Auraix-Jonchière,Alain Montandon,Collectif;Pu Blaise Pascal;2 octobre 2004;Français;20.00
9782746923812;Petit Futé Haute-Savoie;Régis Brugère,Collectif;"Nouvelles Editions de l'Université; édition 2009-2010";11 juin 2009;Français;6.76
9782070371938;Malempin;Simenon;Gallimard;6 mai 1980;Anglais, Français;6.60
9782847910025;Precaires;Hughes Labrusse;Dumerchez;10 avril 2003;Français;17.30
9782738466419;L'Homme et la Société, numéro 129. Regards sur l'humanitaire;Collectif;Editions L'Harmattan;1998;Français;14.25
9782723434683;Plongées sur les plus belles épaves de Provence;Frédéric Bassemayousse,Isabelle Croizeau;Glénat;31 mai 2002;Français;9.50
9782100069569;S'épanouir en couple et en famille : Histoires de vie et pistes de réflexion;Alain Boyer,Eric Trappeniers;InterEditions;15 janvier 2004;Français;9.57
9782100069583;Exercices et problèmes d'algorithmique : 144 énoncés avec solutions détaillées;Baynat,Chretienne;Dunod;10 juillet 2003;Français;12.33
9782879294490;V. W : Le mélange des genres;Geneviève Brisac,Agnès Desarthe;Editions de l'Olivier;22 octobre 2004;Français;20.30
9782851821997;Initiation au judo;René Moyset,Guy Pelletier;"Bornemann; EDITIONS BORNEMANN";25 janvier 1995;Français;3.74
9782702204191;De Chirico, 1888-1978;Collectif;Editions Cercle d'Art;27 janvier 1997;Français;9.99
9782190335216;Trampoline 1, méthode de français : Le Livre de l'élève;Michèle Garabédian,Magdeleine Lerasle,Sylvie Meyer-Dreux;Clé international;23 mai 1991;Anglais, Français;17.20
9782735219148;information et gestion 1e STG, spécialité gestion : Guide pédagogique;Haïm Arouh,Thierry Mercou,Christian Pérocheau;Bertrand-Lacoste;12 juillet 2005;Français;3.44
9782013919937;Poirot joue le jeu;Agatha Christie;Hachette - Deux Coqs d'Or;1 décembre 1994;Français;3.32
9782747569323;Management des projets : techniques d'évaluation, analyse, choix et planification;Emmanuel Djuatio;Editions L'Harmattan;1 octobre 2004;Français;16.00
9782702500804;La Libération de Strasbourg et de l'Alsace (Les Grandes batailles de France);Jean-Pierre Bernier;Charles-Lavauzelle;1984;Français;15.65
9782700940008;Tom-Tom Tome 2 : Tom-Tom à votre service;Bernadette Després,Jacqueline Cohen;Bayard Editions;1 mars 1981;Français;4.99
9782267014495;Les merveilles d'Italie :;Carlo-Emilio Gadda;Christian Bourgois Editeur;17 avril 1998;Français;22.87
9782130460565;L'Orthographe;Nina Catach,Que sais-je?;"Presses Universitaires de France - PUF; 8e édition";1 août 1998;Français;3.78
9782035861917;Mon Premier Larousse des animaux;Benoît Delalandre;Larousse;19 janvier 2011;Français;8.99
9782818014547;Livre d'histoire: (Extraits);René Belletto;P.O.L;17 novembre 2011;Français;15.20
9782754033435;QU'EST-CE QUE TU MIJOTES ?;CAMILLE CHAPTAL,MARTIN BALME;First;19 janvier 2012;Français;3.41
9782040270261;Manuel pratique et astucieux d'aquariophilie;Hervé Martin;Bordas Editions;2000;Français;6.00
9782711202768;Le Jeu de l'ombre;Theresa Charles,Evelyne Stauffer;Éditions de Trévise;1977;Français;8.02
9782738220134;Forge au Loup (la);Francoise Bourdon;Succes du book;2005;Français;6.32
9782801109281;La Nuit d'en face;Luc Dellisse;Duculot;1 janvier 1994;Français;4.83
9782849653715;Le portrait de Petite Cosette, Tome 2 :;Asuka Katsura,Laurent Latrille;Kazé Editions;29 mai 2008;Français;5.51
9782909420295;La France agricole, 2e édition. Dans son environnement européen et mondial;Jean-Paul Charvet;Liris;18 août 1997;Français;2.71
9782226114358;Les dames de Brières, Tome 2 : L'étang du Diable;Catherine Hermary-Vieille;"Albin Michel; ALBIN MICHEL";2 février 2000;Français;19.40
9782756004464;Aquablue, Tome 11 : La forteresse de sable : Edition limitée;Thierry Cailleteau,Siro;Delcourt;2 novembre 2006;Français;11.50
9782290004685;Face aux feux du soleil;Isaac Asimov;J'ai lu;22 janvier 1999;Français;2.99
9782290054079;Le latin est un jeu;Catherine Groud;J'ai lu;25 mai 2013;Français;3.00
9782744074486;E-commerce + eText: De la stratégie à la mise en œuvre opérationnelle;Henri Isaac,Pierre Volle;"Pearson; 2";20 mai 2011;Français;24.99
9782267008241;Poèmes paiens;Fernando Pessoa,Robert Bréchon,Eduardo Prado Coelho;Christian Bourgois;27 février 2004;Français;23.35
9782818902592;Lloyd Singer T05;Brunschwig,Neuray;Bamboo;9 février 2011;Français;13.90
9782904236020;Firdaws: Essai sur les Jardins et les Contre-jardins de l'Islam;Salah Stetie;Le Calligraphe;1984;Français;19.99
9782203024861;Corto Maltese, Tome 6 : La Lagune des mystères;Jean-Michel Ribes,Roland Topor;Casterman;26 août 2009;Français;20.00
9782080354266;Les circuits de l'épargne : Un exposé pour comprendre, un essai pour réfléchir;Roland Monet;Flammarion;5 janvier 1998;Français;2.23
9782841771370;Exemples en Java in a Nutshell, 2e édition;David Flanagan,Alexandre Gachet;O'Reilly;5 septembre 2001;Français;24.58
9782864324737;L'âme de la vie;Rabbi Haïm de Volozine,Emmanuel Levinas,Benjamin Gross;Editions Verdier;18 mai 2006;Français;11.16
9782296051775;Révolution française et monde germanique;Françoise Lartillot,Reiner Marcowitz,Collectif;Editions L'Harmattan;22 février 2008;Français;21.00
9782864103936;De la Bucovine à Saint-Tropez : Les cinq vies de Georges Cotos;Nathalie Manceaux,Georges Cotos;"Serre Editeur; SERRE EDITEUR";2 mai 2004;Français;10.00
9782862596341;Tout peut recommencer (Collection Harlequin);Mather Anne;"Harlequin; COLLECTION HARLEQUIN SERIE CLUB N° 35";1980;Français;4.50
9782862310169;CARNETS POLITIQUES FRANCIS P;ANONYME;ROBERT LAFFONT;1 avril 1979;Français;1.98
9782849520185;Imaginaires des points cardinaux : Aux quatre angles du monde;Michel Viegnes;Imago;21 septembre 2005;Français;29.50
9782247072880;Guide de la jeune entreprise innovante;Lison Chouraki;"Dalloz-Sirey; 2e édition";3 octobre 2007;Français;41.60
9782213654485;Maurice et Jeannette. Biographie du couple Thorez;Annette Wieviorka;Fayard;14 avril 2010;Français;27.40
9782012659926;Encyclopédie nationale des sciences, des lettres et des arts . T 4 (Éd.1851-1853);Jules Pizzetta;Hachette Livre BNF;1 juin 2012;Français;28.90
9782866173074;Activités technologiques en biochimie, tome 1 : méthodes d'analyse;Anne-Marie Fasquel,Michel Fasquel,Jean-Pascal Dumon;Canopé - CRDP de Bordeaux;2000;Français;7.53
9782912927675;Comment arrêter les nuages ?;Michel Houssin;Dumerchez;10 avril 2003;Français;15.30
9782290047712;Sauvez Willy 3;Todd Strasser;J'ai lu;4 janvier 1999;Français;0.98
9782266055666;La nuit des salamandres;Graham Masterton;Presses Pocket;1 mai 1993;Français;2.26
9782909317571;L'Oeil du poète : Michel-Ange;Michel-Ange,Isabel Violante;Textuel;30 avril 1998;Français;9.20
9782910333218;Couleur d'août;Paloma Pedrero;Les Editions du Laquet;17 septembre 1996;Français;9.16
9782263030727;Améliorez votre mémoire : techniques et exercices;Jonathan Hancock;Solar;22 mars 2001;Français;7.15
9782909240398;Histoire de la poupée;E. Brami;Ecriture;23 août 2000;Français;2.99
9782012010710;Les aventures d'Alex Rider, Tome 6 : Arkange;Anthony Horowitz,Annick Le Goyat;Hachette Roman;5 octobre 2005;Français;1.78
9782725628028;Histoire de l'enseignement du français du XVIIe au XXe siècle;André Chervel;Retz;2 octobre 2008;Français;26.90
9782702137420;Pour un pacte écologique;Nicolas Hulot;Calmann-Lévy;6 novembre 2006;Français;18.25
9782253055648;La fortune de Rachel;Maureen O'Donoghue;LGF;1 avril 1996;Français;1.19
9782257104922;Cancers de l'enfant;Collectif;Médecine Sciences Publications;8 janvier 1992;Français;36.00
9782070433285;Vendredi 13;David Goodis,François Gromaire;Gallimard;3 décembre 1979;Anglais, Français;4.10
9782130560470;Le théâtre espagnol du Siècle d'Or : 1580-1680;Christophe Couderc;Presses Universitaires de France - PUF;11 mai 2007;Français;22.50
9782738203151;Les choses de la vie : roman;Guimard-P;Hachette Littérature;15 mai 1991;Français;0.63
9782258041073;Garçon manqué;McNaught Judith;"PRESSE DE LA CITE; Presses de la Cité";1 février 1999;Français;1.32
9782258041202;Belle époque;Rosalind Laker;"Presses de la Cité; Presses de la Cité";1 décembre 1996;Français;2.28
9782915762204;Us Military Vehicles Normandy 1944;Erwan PAULEIAN;Orep;10 juin 2009;Anglais;5.82
9782092108147;Princesse Anna;Cantin;Nathan Jeunesse;3 mars 1998;Français;3.10
9782913563070;Mazarine;Rey Françoise;"Le Cercle; Le Cercle";8 juin 2000;Français;4.95
9782020127622;Temps zéro : Récits;Italo Calvino;Seuil;1 février 1991;Français;0.96
